#{"t_start": 1672758446.629091, "env_id": null}
r,l,t
0.98,24,0.1152
-0.27999988,200,0.384554
-0.095000006,200,0.715306
-0.27999988,200,0.992456
-0.18499996,200,1.272846
0.97,28,1.311705
0.87,99,1.452916
-0.2449999,200,1.862081
-0.2599999,200,2.14192
-0.2449999,200,2.403264
-0.2549999,200,2.667857
-0.18999995,200,2.96763
0.82000005,162,4.778293
-0.28999987,200,5.201703
0.96500003,19,5.232617
-0.2749999,200,5.557261
0.98,15,5.581267
-0.12500001,200,5.920129
-0.33499983,200,6.288605
-0.23499991,200,6.789219
-0.2699999,200,7.386854
-0.2699999,200,7.954846
0.895,76,8.183379
-0.33999982,200,8.673193
0.95,38,8.7448
-0.28499988,200,9.278323
-0.2449999,200,11.800752
-0.21999992,200,12.344991
-0.21499993,200,12.737884
-0.2649999,200,13.095475
-0.29999986,200,13.462677
1.0,6,13.475246
0.97,26,13.522619
0.985,33,13.728633
1.0,3,13.735626
-0.28999987,200,14.101096
-0.32499984,200,14.423822
-0.13000001,200,14.738143
0.92,61,14.839636
0.89,71,15.010509
0.97,14,15.038256
-0.32499984,200,15.351534
-0.19499995,200,17.633903
1.0,1,17.6363
-0.2499999,200,18.01551
-0.38499978,200,18.359233
-0.39999977,200,18.673201
0.99,6,18.683288
-0.16999997,200,18.98824
0.985,26,19.027005
-0.29999986,200,19.424314
-0.48999968,200,19.677024
0.99,7,19.686435
0.985,10,19.699486
0.99,5,19.706368
-0.074999996,200,19.959214
0.97,19,19.983645
0.96,18,20.006827
-0.28999987,200,20.263242
0.905,142,20.441643
-0.4599997,200,21.754134
1.0,2,21.757388
-0.34499982,200,22.009335
-0.20999993,200,22.262134
0.6950002,193,22.504223
-0.32999983,200,22.756924
-0.16999997,200,23.132918
0.96,31,23.172873
-0.43999973,200,23.424566
-0.42499974,200,23.678603
-0.48999968,200,23.932258
-0.3549998,200,24.19695
0.96500003,35,24.242438
-0.34499982,200,25.579993
-0.20499994,200,25.841732
-0.38499978,200,26.098365
0.8000001,159,26.302348
-0.2499999,200,26.555196
-0.33499983,200,26.932156
0.92,75,27.027021
-0.2699999,200,27.28148
0.80500007,119,27.43063
-0.28999987,200,27.688474
-0.39999977,200,27.939318
-0.33499983,200,29.407911
-0.21499993,200,29.664971
1.0,2,29.668086
0.93,49,29.729843
-0.33999982,200,29.99547
0.925,28,30.030481
-0.3699998,200,30.284087
0.7400001,131,30.449021
-0.2549999,200,30.818321
1.0,5,30.82535
-0.32499984,200,31.082087
-0.31999984,200,31.335463
0.975,15,31.355039
-0.19999994,200,31.606249
-0.3699998,200,31.859531
-0.29499987,200,33.208598
-0.3749998,200,33.46829
-0.29499987,200,33.722243
0.85,86,33.829861
